make,model,color,year,price
Acura,TL,Violet,2008,99
GMC,Sierra 1500,Teal,2001,7
Chrysler,Voyager,Yellow,2003,90
Ford,Explorer Sport Trac,Khaki,2004,30
Aston Martin,V8 Vantage S,Red,2012,82
Lexus,GX,Indigo,2008,93
Ford,Ranger,Yellow,2007,16
Mercedes-Benz,E-Class,Red,1998,2
Lexus,GS,Indigo,2011,38
Infiniti,Q,Pink,2005,35
Chrysler,Sebring,Mauv,2009,89
Chevrolet,Caprice,Blue,1977,57
Lexus,GS,Green,2003,4
Porsche,928,Purple,1995,53
Toyota,Tercel,Indigo,1994,65
Maybach,57,Puce,2008,16
Mercedes-Benz,C-Class,Yellow,2008,61
BMW,5 Series,Purple,2002,91
Ford,F-Series,Mauv,1994,6
Mercury,Cougar,Goldenrod,1987,73
Bentley,Continental Super,Teal,2010,14
Cadillac,Escalade EXT,Puce,2004,24
Audi,S8,Red,2002,59
Mitsubishi,Mighty Max,Indigo,1996,12
GMC,Sierra 1500,Fuscia,2000,10
Nissan,Xterra,Purple,2009,75
BMW,550,Purple,2006,29
Toyota,MR2,Puce,2002,62
Acura,RDX,Teal,2008,63
Oldsmobile,Cutlass,Turquoise,1998,47
Volvo,S40,Indigo,2005,56
Buick,Century,Indigo,1990,80
Smart,Fortwo,Crimson,2009,9
Volvo,S40,Indigo,2009,19
Porsche,Boxster,Green,2007,42
Lamborghini,Diablo,Turquoise,1999,7
Toyota,Sequoia,Pink,2009,16
Buick,Regal,Yellow,1995,84
Honda,Accord,Goldenrod,2000,26
Ford,F150,Blue,1997,37
Ford,Econoline E250,Red,1998,52
Infiniti,I,Fuscia,1996,23
Mitsubishi,GTO,Goldenrod,1995,98
BMW,Z3,Goldenrod,1999,52
Mazda,Tribute,Crimson,2005,93
Dodge,Ram 1500 Club,Indigo,1998,3
Mazda,Millenia,Turquoise,1998,74
Scion,xA,Pink,2005,25
Ford,Escort,Aquamarine,1996,69
Toyota,Land Cruiser,Purple,2005,88
Pontiac,LeMans,Mauv,1992,83
Lamborghini,Diablo,Turquoise,1990,84
Land Rover,LR2,Indigo,2009,33
Mitsubishi,Lancer,Teal,2010,59
GMC,Savana 1500,Turquoise,2011,63
Lincoln,Town Car,Goldenrod,1999,45
Ford,Expedition,Purple,2012,41
Audi,Allroad,Turquoise,2001,35
Pontiac,Grand Prix,Purple,1992,32
Volkswagen,Golf,Puce,2011,22
Chevrolet,Corvette,Fuscia,1969,45
GMC,Sierra 1500,Pink,2013,75
Pontiac,Montana,Red,1999,97
Chevrolet,Silverado 1500,Puce,2009,77
Pontiac,Grand Prix,Indigo,1992,26
Mercury,Mountaineer,Indigo,2006,33
Acura,TSX,Orange,2012,16
Mercury,Cougar,Goldenrod,1984,69
Suzuki,Esteem,Indigo,1996,80
Maserati,Biturbo,Green,1986,5
Kia,Amanti,Yellow,2005,52
BMW,M5,Green,2010,74
Volvo,C70,Fuscia,2011,58
BMW,530,Mauv,2005,65
Cadillac,Fleetwood,Turquoise,1995,82
Volkswagen,Cabriolet,Goldenrod,1987,48
Audi,S6,Indigo,2008,20
Mazda,CX-9,Puce,2012,65
Volvo,850,Indigo,1997,25
Pontiac,Bonneville,Indigo,1991,78
Mercury,Mariner,Puce,2008,83
Toyota,Sienna,Orange,2001,35
GMC,Sierra 2500,Turquoise,2009,95
Lexus,RX,Violet,2010,63
Nissan,Frontier,Teal,2004,32
BMW,760,Khaki,2003,90
Lexus,ES,Purple,2011,83
Mercedes-Benz,C-Class,Yellow,2005,85
Ford,F350,Goldenrod,2011,15
Mazda,CX-9,Violet,2008,15
Pontiac,Sunbird,Mauv,1993,52
Dodge,Ram 1500 Club,Mauv,1996,88
Honda,Prelude,Violet,1994,95
Audi,TT,Teal,2008,45
Ford,Crown Victoria,Aquamarine,1999,100
Ford,Expedition EL,Purple,2008,46
Mercedes-Benz,SL-Class,Purple,2000,87
Chevrolet,3500,Goldenrod,1996,54
Dodge,Ram Van 3500,Yellow,2003,67
Mazda,Miata MX-5,Orange,1995,71
